,Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD
64,US,AK,0,199900
65,US,AL,1,275600
66,US,AL,2,247500
67,US,AL,3,255000
68,US,AL,4,294800
69,US,AL,5,286800
70,US,AL,6,400700
71,US,AL,7,242100
72,US,AR,1,220900
73,US,AR,2,397200
74,US,AR,3,346400
75,US,AR,4,208900
76,US,AZ,1,919100
77,US,AZ,2,746100
78,US,AZ,3,572900
79,US,AZ,4,807100
80,US,AZ,5,578000
81,US,AZ,6,933700
82,US,AZ,7,1451200
83,US,AZ,8,697700
84,US,AZ,9,664300
85,US,CA,1,260200
86,US,CA,10,766200
87,US,CA,11,401800
88,US,CA,12,1040500
89,US,CA,13,553300
90,US,CA,14,373300
91,US,CA,15,321000
92,US,CA,16,260700
93,US,CA,17,694800
94,US,CA,18,421800
95,US,CA,19,324000
96,US,CA,2,359600
97,US,CA,20,360200
98,US,CA,21,329900
99,US,CA,22,397000
100,US,CA,23,230100
101,US,CA,24,330800
102,US,CA,25,676200
103,US,CA,26,365900
104,US,CA,27,342000
105,US,CA,28,494600
106,US,CA,29,490400
107,US,CA,3,253200
108,US,CA,30,437900
109,US,CA,31,414700
110,US,CA,32,262800
111,US,CA,33,505600
112,US,CA,34,489300
113,US,CA,35,368200
114,US,CA,36,361500
115,US,CA,37,351100
116,US,CA,38,257600
117,US,CA,39,842500
118,US,CA,4,337800
119,US,CA,40,246800
120,US,CA,41,314600
121,US,CA,42,278500
122,US,CA,43,853400
123,US,CA,44,275400
124,US,CA,45,1223200
125,US,CA,46,374300
126,US,CA,47,367800
127,US,CA,48,884800
128,US,CA,49,546700
129,US,CA,5,325200
130,US,CA,50,357400
131,US,CA,51,351600
132,US,CA,52,515300
133,US,CA,53,401100
134,US,CA,6,653400
135,US,CA,7,355100
136,US,CA,8,344600
137,US,CA,9,300000
138,US,CO,1,1495100
139,US,CO,2,528800
140,US,CO,3,410600
141,US,CO,4,440100
142,US,CO,5,427600
143,US,CO,6,786300
144,US,CO,7,384300
145,US,CT,1,247700
146,US,CT,2,234300
147,US,CT,3,235500
148,US,CT,4,305100
149,US,CT,5,226800
150,US,DC,0,1726400
151,US,DE,0,360200
152,US,FL,1,439000
153,US,FL,10,1276900
154,US,FL,11,496200
155,US,FL,12,520800
156,US,FL,13,495700
157,US,FL,14,946700
158,US,FL,15,471600
159,US,FL,16,605700
160,US,FL,17,484400
161,US,FL,18,642800
162,US,FL,19,701700
163,US,FL,2,362600
164,US,FL,20,339300
165,US,FL,21,511000
166,US,FL,22,598700
167,US,FL,23,522700
168,US,FL,24,974600
169,US,FL,25,443200
170,US,FL,26,677700
171,US,FL,27,1152500
172,US,FL,3,521300
173,US,FL,4,756800
