,Advertiser_ID,Advertiser_Name,Date_Range_Start,Date_Range_End,Num_of_Days,Impressions,Spend_USD
9473,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-18,2019-06-18,1,≤ 10k,≤ 100
9474,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-17,2020-01-25,9,≤ 10k,100-1k
9475,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-02,2019-04-11,10,≤ 10k,≤ 100
9476,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-01-10,2019-03-11,57,≤ 10k,≤ 100
9477,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-11-11,2019-11-11,1,≤ 10k,≤ 100
9478,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-11,2019-07-18,8,≤ 10k,≤ 100
9479,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-26,2019-03-28,3,≤ 10k,≤ 100
9480,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-11-01,2018-11-06,6,10k-100k,100-1k
9481,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2019-12-24,161,10k-100k,1k-50k
9482,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-23,2019-06-25,3,≤ 10k,≤ 100
9483,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-08-28,2018-08-28,1,≤ 10k,≤ 100
9484,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-03-15,4,≤ 10k,≤ 100
9485,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-27,2019-03-28,2,≤ 10k,≤ 100
9486,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-11,2019-07-18,8,10k-100k,≤ 100
9488,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-01-09,2019-01-09,1,≤ 10k,≤ 100
9490,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-23,2019-06-24,2,≤ 10k,≤ 100
9491,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-29,2020-02-24,27,≤ 10k,≤ 100
9492,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-01-09,2019-01-10,2,≤ 10k,≤ 100
9493,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-02-13,2020-02-14,2,≤ 10k,≤ 100
9494,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-08,2019-03-11,31,≤ 10k,≤ 100
