,Spend,Impressions,StartDate,EndDate,OrganizationName,PayingAdvertiserName,Gender,AgeBracket,Regions (Included),Interests,AdvancedDemographics
1514,198,36008,2019/09/21 09:00:00Z,2019/09/22 01:00:00Z,Biden for President,Biden for President,,,,,
1721,3,834,2019/09/21 13:02:05Z,2019/09/21 22:59:59Z,Biden for President,Biden for President,,,,,
2053,500,267396,2019/12/12 19:21:47Z,2019/12/16 19:10:36Z,Biden for President,Biden for President,,,Iowa,,
2766,974,245052,2019/07/31 20:00:00Z,2019/08/01 03:59:00Z,Biden for President,Biden for President,,17+,,,
205,74,21299,2020/01/10 17:36:02Z,2020/01/16 04:59:59Z,Biden for President,Biden for President,,17-27,,,
513,66,11927,2020/01/10 17:23:38Z,2020/01/16 04:59:59Z,Biden for President,Biden for President,,17-27,,,
526,77,18117,2020/01/10 17:23:38Z,2020/01/15 17:23:38Z,Biden for President,Biden for President,,17-24,,,
1132,361,135584,2019/06/14 15:01:59Z,2019/06/30 15:01:59Z,Aisle 518 Strategies LLC,Bernie 2020,,17+,,,
801,155,15927,2020/02/03 23:47:52Z,2020/02/04 04:59:59Z,Friends of Andrew Yang,Friends of Andrew Yang,,17+,Iowa,,
2863,83500,41769342,2019/12/20 19:59:14Z,2020/01/17 19:57:32Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,18-34,"Alabama,Arkansas,California,Colorado,Maine,Minnesota,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,South Carolina,Nevada,Florida,Michigan,Pennsylvania,Arizona",,
2972,166500,17410136,2019/12/20 21:30:00Z,2020/01/18 04:59:16Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,18-34,"Alabama,Arkansas,California,Colorado,Maine,Minnesota,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,South Carolina,Nevada,Florida,Wisconsin,Michigan,Arizona,Pennsylvania",,
1,0,1,2020/02/22 17:09:02Z,2020/03/03 17:00:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,Arkansas,California,Colorado,Maine,Massachusetts,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,Idaho,Michigan,Mississippi,Missouri,North Dakota,Washington,Arizona,Florida,Illinois,Wyoming,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Rhode Island,Ohio,Georgia,Minnesota,New Jersey","Bookworms & Avid Readers,Green Living Enthusiasts,Political News Watchers,Outdoor & Nature Enthusiasts",
8,12732,1317768,2020/02/22 17:09:02Z,2020/03/03 17:00:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,California,Colorado,Maine,Massachusetts,North Carolina,Tennessee,Texas,Utah,Vermont,Virginia,Idaho,Michigan,Mississippi,Missouri,North Dakota,Washington,Arizona,Florida,Illinois,Wyoming,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Rhode Island,Ohio,Georgia,Minnesota,New Jersey",,
26,62175,6087352,2020/02/02 21:02:33Z,2020/02/05 04:59:55Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,18-34,"Alabama,Arkansas,California,Colorado,Maine,Minnesota,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,South Carolina,Nevada,Florida,Wisconsin,Michigan,Arizona,Pennsylvania",,
27,16382,1702780,2020/02/22 17:09:02Z,2020/03/03 17:00:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,California,Colorado,Maine,Massachusetts,North Carolina,Tennessee,Texas,Utah,Vermont,Virginia,Idaho,Michigan,Mississippi,Missouri,North Dakota,Washington,Arizona,Florida,Illinois,Wyoming,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Rhode Island,Ohio,Georgia,Minnesota,New Jersey",,
44,7794,3655247,2020/02/22 17:09:02Z,2020/03/03 17:00:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,Arkansas,California,Colorado,Maine,Massachusetts,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,Idaho,Michigan,Mississippi,Missouri,North Dakota,Washington,Arizona,Florida,Illinois,Wyoming,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Rhode Island,Ohio,Georgia,Minnesota,New Jersey","Bookworms & Avid Readers,Green Living Enthusiasts,Political News Watchers,Outdoor & Nature Enthusiasts",
45,17459,1811479,2020/02/08 05:00:00Z,2020/02/16 04:59:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,Arkansas,California,Colorado,Maine,Massachusetts,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,Michigan,Mississippi,Missouri,Washington,Arizona,Florida,Illinois,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Georgia,Minnesota,New Jersey,Ohio",,
52,16192,1681141,2020/02/08 05:00:00Z,2020/02/16 04:59:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Illinois,Maine,Massachusetts,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,Michigan,Mississippi,Missouri,Washington,Wisconsin,Maryland,New York,Pennsylvania,Georgia,Minnesota,Ohio,New Jersey",,
79,12650,5901671,2020/02/08 05:00:00Z,2020/02/16 04:59:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,Arkansas,California,Colorado,Maine,Massachusetts,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,Michigan,Mississippi,Missouri,Washington,Arizona,Florida,Illinois,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Georgia,Minnesota,New Jersey,Ohio",,
93,12978,1337256,2020/02/22 17:09:02Z,2020/03/03 17:00:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,Arkansas,California,Colorado,Maine,Massachusetts,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,Idaho,Michigan,Mississippi,Missouri,North Dakota,Washington,Arizona,Florida,Illinois,Wyoming,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Rhode Island,Ohio,Georgia,Minnesota,New Jersey","Bookworms & Avid Readers,Green Living Enthusiasts,Political News Watchers,Outdoor & Nature Enthusiasts",
96,16716,1734889,2020/02/08 05:00:00Z,2020/02/16 04:59:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Illinois,Maine,Massachusetts,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,Michigan,Mississippi,Missouri,Washington,Wisconsin,Maryland,New York,Pennsylvania,Georgia,Minnesota,Ohio,New Jersey",,
122,9472,4532245,2020/02/08 05:00:00Z,2020/02/16 04:59:59Z,Hawkfish LLC,"Mike Bloomberg 2020, Inc.",,24-38,"Alabama,Arkansas,California,Colorado,Maine,Massachusetts,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,Michigan,Mississippi,Missouri,Washington,Arizona,Florida,Illinois,Wisconsin,Connecticut,Delaware,Maryland,New York,Pennsylvania,Georgia,Minnesota,New Jersey,Ohio",,
